id,ticker,market_cap
1,MMM,1387
2,AOS,108
3,ABT,1021
4,ABBV,1814
5,ACN,988
6,ATVI,525
7,AYI,62
8,ADBE,946
9,AAP,81
10,AMD,112
11,AES,69
12,AET,592
13,AMG,104
14,AFL,334
15,A,220
16,APD,346
17,AKAM,109
18,ALK,79
19,ALB,118
20,ARE,120
21,ALXN,262
22,ALGN,188
23,ALLE,76
24,AGN,567
25,ADS,136
26,LNT,87
27,ALL,348
28,GOOGL,7338
29,GOOG,7285
30,MO,1270
31,AMZN,6859
32,AEE,129
33,AAL,246
34,AEP,317
35,AXP,804
36,AIG,544
37,AMT,592
38,AWK,139
39,AMP,235
40,ABC,206
41,AME,171
42,AMGN,1281
43,APH,270
44,APC,321
45,ADI,318
46,ANDV,157
47,ANSS,132
48,ANTM,612
49,AON,351
50,APA,151
51,AIV,62
52,AAPL,8095
53,AMAT,513
54,APTV,249
55,ADM,236
56,ARNC,121
57,AJG,120
58,AIZ,47
59,T,2267
60,ADSK,243
61,ADP,503
62,AZO,199
63,AVB,219
64,AVY,101
65,BHGE,330
66,BLL,138
67,BAC,3215
68,BAX,357
69,BBT,421
70,BDX,509
71,BRK.B,2614
72,BBY,208
73,BIIB,692
74,BLK,859
75,HRB,54
76,BA,2056
77,BWA,116
78,BXP,178
79,BSX,361
80,BHF,71
81,BMY,1025
82,AVGO,928
83,BF.B,55
84,CHRW,129
85,CA,142
86,COG,108
87,CDNS,109
88,CPB,135
89,COF,476
90,CAH,205
91,KMX,118
92,CCL,492
93,CAT,918
94,CBOE,130
95,CBG,144
96,CBS,204
97,CELG,749
98,CNC,180
99,CNP,114
100,CTL,182
101,CERN,211
102,CF,92
103,SCHW,698
104,CHTR,867
105,CHK,26
106,CVX,2190
107,CMG,77
108,CB,684
109,CHD,118
110,CI,477
111,XEC,101
112,CINF,119
113,CTAS,167
114,CSCO,1994
115,C,1927
116,CFG,220
117,CTXS,132
118,CME,544
119,CMS,119
120,KO,1899
121,CTSH,451
122,CL,616
123,CMCSA,1865
124,CMA,163
125,CAG,144
126,CXO,220
127,COP,655
128,ED,233
129,STZ,417
130,GLW,258
131,COST,804
132,COTY,131
133,CCI,442
134,CSRA,51
135,CSX,473
136,CMI,287
137,CVS,753
138,DHI,174
139,DHR,664
140,DRI,117
141,DVA,137
142,DE,522
143,DAL,384
144,XRAY,134
145,DVN,193
146,DLR,214
147,DFS,274
148,DISCA,88
149,DISCK,83
150,DISH,210
151,DG,266
152,DLTR,252
153,D,475
154,DOV,156
155,DWDP,1652
156,DPS,212
157,DTE,178
158,DUK,521
159,DRE,90
160,DXC,274
161,ETFC,138
162,EMN,142
163,ETN,360
164,EBAY,442
165,ECL,385
166,EIX,194
167,EW,274
168,EA,379
169,EMR,440
170,ETR,131
171,EVHC,42
172,EOG,612
173,EQT,126
174,EFX,141
175,EQIX,333
176,EQR,209
177,ESS,144
178,EL,495
179,RE,101
180,ES,180
181,EXC,347
182,EXPE,197
183,EXPD,110
184,ESRX,424
185,EXR,101
186,XOM,3261
187,FFIV,87
188,FB,5234
189,FAST,153
190,FRT,81
191,FDX,673
192,FIS,323
193,FITB,224
194,FE,137
195,FISV,269
196,FLIR,67
197,FLS,54
198,FLR,80
199,FMC,113
200,FL,58
201,F,424
202,FTV,249
203,FBHS,96
204,BEN,218
205,FCX,259
206,GPS,127
207,GRMN,118
208,IT,108
209,GD,642
210,GE,1322
211,GGP,210
212,GIS,311
213,GM,615
214,GPC,146
215,GILD,1081
216,GPN,169
217,GS,970
218,GT,82
219,GWW,146
220,HAL,434
221,HBI,80
222,HOG,82
223,HRS,181
224,HIG,199
225,HAS,127
226,HCA,344
227,HCP,110
228,HP,73
229,HSIC,115
230,HES,140
231,HPE,248
232,HLT,262
233,HOLX,112
234,HD,2234
235,HON,1144
236,HRL,173
237,HST,144
238,HPQ,349
239,HUM,370
240,HBAN,168
241,HII,106
242,IDXX,154
243,INFO,180
244,ITW,560
245,ILMN,323
246,INCY,182
247,IR,228
248,INTC,2115
249,ICE,414
250,IBM,1424
251,IP,245
252,IPG,83
253,IFF,113
254,INTU,412
255,ISRG,449
256,IVZ,136
257,IQV,204
258,IRM,94
259,JBHT,129
260,JEC,93
261,SJM,136
262,JNJ,3531
263,JCI,348
264,JPM,3866
265,JNPR,93
266,KSU,110
267,K,222
268,KEY,226
269,KMB,394
270,KIM,62
271,KMI,386
272,KLAC,161
273,KSS,106
274,KHC,896
275,KR,255
276,LB,139
277,LLL,162
278,LH,173
279,LRCX,280
280,LEG,60
281,LEN,146
282,LUK,89
283,LLY,845
284,LNC,171
285,LKQ,125
286,LMT,981
287,L,161
288,LOW,829
289,LYB,436
290,MTB,278
291,MAC,85
292,M,75
293,MRO,139
294,MPC,316
295,MAR,509
296,MMC,418
297,MLM,138
298,MAS,134
299,MA,1871
300,MAT,58
301,MKC,135
302,MCD,1321
303,MCK,315
304,MDT,1101
305,MRK,1522
306,MET,487
307,MTD,164
308,MGM,196
309,KORS,101
310,MCHP,194
311,MU,486
312,MSFT,6900
313,MAA,100
314,MHK,199
315,TAP,124
316,MDLZ,658
317,MON,531
318,MNST,364
319,MCO,302
320,MS,975
321,MSI,166
322,MYL,217
323,NDAQ,128
324,NOV,129
325,NAVI,37
326,NTAP,154
327,NFLX,1148
328,NWL,144
329,NFX,57
330,NEM,197
331,NWSA,94
332,NWS,95
333,NEE,697
334,NLSN,134
335,NKE,1068
336,NI,78
337,NBL,132
338,JWN,82
339,NSC,405
340,NTRS,229
341,NOC,588
342,NCLH,132
343,NRG,80
344,NUE,200
345,NVDA,1387
346,ORLY,214
347,OXY,535
348,OMC,174
349,OKE,220
350,ORCL,2023
351,PCAR,242
352,PKG,111
353,PH,244
354,PDCO,32
355,PAYX,233
356,PYPL,907
357,PNR,125
358,PBCT,65
359,PEP,1614
360,PKI,84
361,PRGO,123
362,PFE,2085
363,PCG,203
364,PM,1536
365,PSX,480
366,PNW,84
367,PXD,300
368,PNC,733
369,RL,88
370,PPG,290
371,PPL,208
372,PX,429
373,PCLN,918
374,PFG,185
375,PG,2063
376,PGR,311
377,PLD,320
378,PRU,471
379,PEG,241
380,PSA,323
381,PHM,88
382,PVH,115
383,QRVO,99
384,QCOM,963
385,PWR,53
386,DGX,136
387,RRC,33
388,RJF,132
389,RTN,591
390,O,138
391,RHT,228
392,REG,99
393,REGN,360
394,RF,215
395,RSG,216
396,RMD,132
397,RHI,70
398,ROK,241
399,COL,222
400,ROP,272
401,ROST,298
402,RCL,274
403,SPGI,466
404,CRM,795
405,SBAC,196
406,SCG,52
407,SLB,965
408,SNI,113
409,STX,141
410,SEE,80
411,SRE,262
412,SHW,377
413,SIG,30
414,SPG,481
415,SWKS,185
416,SLG,86
417,SNA,95
418,SO,435
419,LUV,344
420,SWK,245
421,SBUX,765
422,STT,381
423,SRCL,62
424,SYK,575
425,STI,325
426,SYMC,165
427,SYF,289
428,SNPS,128
429,SYY,304
430,TROW,258
431,TPR,142
432,TGT,398
433,TEL,350
434,FTI,142
435,TXN,1003
436,TXT,153
437,BK,561
438,CLX,165
439,COO,113
